text,class
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",spam
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",urgent
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",spam
I plane to give on this month end.,urgent
Wah lucky man... Then can save money... Hee...,urgent
Finished class where are you.,urgent
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,urgent
K..k:)where are you?how did you performed?,urgent
U can call me now,urgent
I am waiting machan. Call me once you free.,urgent
Thats cool. i am a gentleman and will treat you with dignity and respect.,urgent
I like you peoples very much:) but am very shy pa.,urgent
Does not operate after  &lt;#&gt;  or what,urgent
Its not the same here. Still looking for a job. How much do Ta's earn there.,urgent
"Sorry, I'll call later",urgent
K. Did you call me just now ah?,urgent
Ok i am on the way to home hi hi,urgent
You will be in the place of that man,urgent
Yup next stop.,urgent
"I call you later, don't have network. If urgnt, sms me.",urgent
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,urgent
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,urgent
I'm really not up to it still tonight babe,urgent
"Ela kano.,il download, come wen ur free..",urgent
Yeah do! Don‘t stand to close tho- you‘ll catch something!,urgent
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,urgent
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,urgent
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,urgent
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam
Watching telugu movie..wat abt u?,urgent
i see. When we finish we have loads of loans to pay,urgent
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",urgent
I see a cup of coffee animation,urgent
Please don't text me anymore. I have nothing else to say.,urgent
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,urgent
I'm still looking for a car to buy. And have not gone 4the driving test yet.,urgent
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,urgent
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",urgent
Umma my life and vava umma love you lot dear,urgent
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,urgent
"Aight, I'll hit you up when I get some cash",urgent
How would my ip address test that considering my computer isn't a minecraft server,urgent
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,urgent
Dont worry. I guess he's busy.,urgent
What is the plural of the noun research?,urgent
Going for dinner.msg you after.,urgent
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,urgent
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",urgent
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",urgent
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),spam
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,urgent
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,urgent
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam
here is my new address -apples&pairs&all that malarky,urgent
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam
I am going to sao mu today. Will be done only at 12,urgent
Ü predict wat time ü'll finish buying?,urgent
"Good stuff, will do.",urgent
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",urgent
Are you there in room.,urgent
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,urgent
K..k:)how much does it cost?,urgent
I'm home.,urgent
"Dear, will call Tmorrow.pls accomodate.",urgent
First answer my question.,urgent
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,spam
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam
I only haf msn. It's yijue@hotmail.com,urgent
He is there. You call and meet him,urgent
No no. I will check all rooms befor activities,urgent
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,urgent
"K, text me when you're on the way",urgent
"Sir, Waiting for your mail.",urgent
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",urgent
I know you are. Can you pls open the back?,urgent
Yes see ya not on the dot,urgent
Whats the staff name who is taking class for us?,urgent
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,urgent
K..i deleted my contact that why?,urgent
Sindu got job in birla soft ..,urgent
The wine is flowing and i'm i have nevering..,urgent
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,urgent
Ok... Ur typical reply...,urgent
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,urgent
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",urgent
Aaooooright are you at work?,urgent
I'm leaving my house now...,urgent
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",urgent
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,urgent
New car and house for my parents.:)i have only new job in hand:),urgent
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,urgent
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam
I place all ur points on e cultures module already.,urgent
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",urgent
Great escape. I fancy the bridge but needs her lager. See you tomo,urgent
Yes :)it completely in out of form:)clark also utter waste.,urgent
"Sir, I need AXIS BANK account no and bank address.",urgent
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",urgent
What time you coming down later?,urgent
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",urgent
"Well, i'm gonna finish my bath now. Have a good...fine night.",urgent
Let me know when you've got the money so carlos can make the call,urgent
U still going to the mall?,urgent
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",urgent
Text her. If she doesnt reply let me know so i can have her log in,urgent
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,urgent
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,urgent
Lol no. U can trust me.,urgent
ok. I am a gentleman and will treat you with dignity and respect.,urgent
"He will, you guys close?",urgent
Going on nothing great.bye,urgent
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,urgent
"Haha awesome, be there in a minute",urgent
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
Have you got Xmas radio times. If not i will get it now,urgent
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,urgent
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,urgent
Hi :)finally i completed the course:),urgent
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,urgent
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,urgent
Gud mrng dear hav a nice day,urgent
Did u got that persons story,urgent
is your urgentster dead? Hey so tmr i meet you at 1pm orchard mrt?,urgent
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,urgent
